t,Va_pu,Vb_pu,Vc_pu,P_meas_MW,P_total_MW,Q_total_Mvar,P_it_MW,P_cool_MW,P_aux_MW,ups_state,soc,vdc_pu,P_batt_MW,cool_stall,P_ai_pu,P_it_served_MW
241.33,0.957107555841299,0.957107555765034,0.957107555866744,67.9959940606252,67.9959940606252,26.0207726424377,8.04160304494493,37.1311773124049,22.8232137032753,0,1,0.999962430898065,0,0,0.0668766927040584,9.52992871032832
241.34,0.956879081115235,0.956879081039069,0.956879081143492,67.7610190929127,67.7610190929127,25.9415409306423,7.82946725948161,37.1193265306235,22.8122253028076,0,1,1.00003633854113,0,0,0.0561592514576214,8.00269333271106
241.35,0.956679653637064,0.95667965356034,0.956679653665946,67.8601255135469,67.8601255135469,25.9723660457426,7.94842668758083,37.1089608628718,22.8027379630943,0,1,0.999985574880869,0,0,0.0682841431984866,9.73049040578435
241.36,0.956469767418337,0.956469767340601,0.956469767446454,68.1577414485543,68.1577414485543,26.0683439741665,8.26706949294132,37.0980328559765,22.7926390996365,0,1,0.999963569928198,0,0,0.062998731933196,8.97731930048043
241.37,0.956252282917713,0.956252282839884,0.956252282946706,69.2595477627135,69.2595477627135,26.4285840819418,9.3906769479673,37.086732010634,22.7821388041122,0,1,0.999810961201915,0,0,0.0635081705527248,9.04991430376328
241.38,0.956072820548775,0.956072820470553,0.956072820578633,69.4577269756561,69.4577269756561,26.4921245074148,9.60705816656892,37.0772613093604,22.7734074997268,0,1,0.999842918645227,0,0,0.0598740699136711,8.53205496269813
241.39,0.955922292268814,0.955922292189604,0.955922292298756,67.3585974231301,67.3585974231301,25.8008230513418,7.52311102167932,37.0692631382961,22.7662232631547,0,1,1.00020121660052,0,0,0.0594995016519768,8.47867898540669
241.4,0.955797682206079,0.955797682125994,0.95579768223513,67.4352192423449,67.4352192423449,25.8248780626535,7.61232112966168,37.0625810774148,22.7603170352685,0,1,1.00014529254776,0,0,0.0572199283151818,8.15383978491341
241.41,0.955671832934213,0.955671832853998,0.955671832964416,67.5095898486725,67.5095898486725,25.8481821557137,7.6994123697639,37.0558334955696,22.754343983339,0,1,1.00010315026866,0,0,0.05442737225949,7.75590054697733
241.42,0.955558767570151,0.955558767490561,0.955558767601664,67.9865302127556,67.9865302127556,26.0039101640442,8.18783966085168,37.0497131943435,22.7489773575604,0,1,0.999994934064463,0,0,0.0585730725630514,8.34666284023482
241.43,0.955450598131681,0.955450598050104,0.955450598160601,66.570938675747,66.570938675747,25.5376285892494,6.78328901141726,37.0438053433842,22.7438443209456,0,1,1.00023937882519,0,0,0.0443822702108811,6.32447350505056
241.44,0.955358060845176,0.955358060764101,0.95535806087579,67.9331978354822,67.9331978354822,25.9845198672788,8.1549939538274,37.0387135201132,22.7394903615417,0,1,0.999960127917178,0,0,0.0467130446952764,6.65660886907688
241.45,0.955298891754872,0.955298891674008,0.955298891786244,65.9792995095963,65.9792995095963,25.341711575182,6.20731001673563,37.0352214333189,22.7367680595418,0,1,1.00027444394393,0,0,0.0379153976477476,5.40294416480404
241.46,0.95524584037079,0.955245840290346,0.955245840403374,68.4200329500158,68.4200329500158,26.1434113843865,8.65356540905734,37.0320988904884,22.7343686504701,0,1,0.999770231616484,0,0,0.0639457490192156,9.11226923523822
241.47,0.955165670330349,0.955165670248921,0.955165670361718,68.1964687452856,68.1964687452856,26.0691487391859,8.43856778239561,37.0274851850261,22.7304157778639,0,1,0.999899516349337,0,0,0.0492379625550925,7.01640966410068
241.48,0.955109729884598,0.955109729803364,0.955109729916578,66.1527464312001,66.1527464312001,25.3968428261133,6.4007500796355,37.0241481130517,22.7278482385129,0,1,1.00022853958064,0,0,0.0483402831864995,6.88849035407617
241.49,0.955043494298323,0.955043494215656,0.955043494328428,66.6838494565787,66.6838494565787,25.5707605293785,6.9387472629906,37.0203304884608,22.7247717051273,0,1,1.00010181276681,0,0,0.0402065433514956,5.72943242758812
241.5,0.955001220594751,0.955001220512529,0.955001220626152,67.1670314138864,67.1670314138864,25.7291240252312,7.42650037128969,37.0176821949871,22.7228488476096,0,1,0.999982164734589,0,0,0.0449272919830569,6.40213910758561
241.51,0.954930764920216,0.954930764837546,0.954930764951503,66.9054782104812,66.9054782104812,25.6424741799736,7.17219707846548,37.0136639613241,22.7196171706916,0,1,0.999983431670426,0,0,0.0611724683637628,8.7170767418362
241.52,0.954871844067513,0.954871843986079,0.954871844100219,66.2421093297456,66.2421093297456,25.4238368351501,6.51516314539329,37.0101360060382,22.7168101783141,0,1,1.00013051955224,0,0,0.042377151707894,6.0387441183749
241.53,0.954793501859841,0.95479350177785,0.954793501891685,68.1194787765706,68.1194787765706,26.0401469174791,8.40069841842183,37.0056979670816,22.7130823910672,0,1,0.99980351296705,0,0,0.0436712181760019,6.22314859008027
241.54,0.954733114752542,0.954733114669455,0.954733114783883,66.8692508299687,66.8692508299687,25.6286066558438,7.15692343148216,37.0021013155294,22.7102260829572,0,1,1.00003943786035,0,0,0.0405973115065282,5.78511688968027
241.55,0.954686668101281,0.954686668018706,0.95468666813284,67.7775865395955,67.7775865395955,25.9266783320473,8.07020937442778,36.9992564229828,22.7081207421848,0,1,0.99982909229388,0,0,0.0661553025233363,9.42713060957543
