t,Va_pu,Vb_pu,Vc_pu,P_meas_MW,P_total_MW,Q_total_Mvar,P_it_MW,P_cool_MW,P_aux_MW,ups_state,soc,vdc_pu,P_batt_MW,cool_stall,P_ai_pu,P_it_served_MW
262.12,1.0160943737089,1.01609437361438,1.01609437377472,79.2335760323163,79.2335760323163,10.655964161929,30.5739294916412,28.0710999338658,20.5885466068093,0,0.998170582656102,0.999967613406391,-0,0,0.237105121751912,29.4010350972371
262.13,1.01594089756965,1.01594089747457,1.01594089763924,78.6006773442502,78.6006773442502,10.6526044483322,29.9504835167738,28.0679729861772,20.5822208412992,0,0.998170582656102,1.00001211798802,-0,0,0.237077193339242,29.3975719740661
262.14,1.01579532816474,1.01579532806377,1.01579532823704,77.4531194796764,77.4531194796764,10.6494377681666,28.8118521607174,28.0650622054536,20.5762051135054,0,0.998170582656102,1.00013690781591,-0,0,0.219716130532556,27.2448001860369
262.15,1.01565764921524,1.01565764912402,1.0156576493004,77.9152485314083,77.9152485314083,10.6464722580553,29.2823318173726,28.0623176330717,20.570599080964,0,0.998170582656102,1.00003925084283,-0,0,0.226785393675735,28.1213888157912
262.16,1.01552087719324,1.01552087713861,1.01552087730211,78.7294288898729,78.7294288898729,10.6435345690834,30.1047977314,28.0596275566067,20.5650036018662,0,0.998170582656102,0.999957749349129,-0,0,0.231796432433618,28.7427576217686
262.17,1.01539822284748,1.01539822278478,1.01539822295797,77.6805870337912,77.6805870337912,10.6409295715638,29.0633209603601,28.0572806781551,20.5599853952761,0,0.998170582656102,1.00005521333592,-0,0,0.22631801920604,28.063434381549
262.18,1.01525928483145,1.01525928480389,1.01525928496035,77.8768571642716,77.8768571642716,10.6379453772679,29.2679964937927,28.0545241692342,20.5543365012448,0,0.998170582656102,1.00001696630402,-0,0,0.227950444314532,28.265855095002
262.19,1.01512605158571,1.01512605157212,1.01512605173193,75.2869042648344,75.2869042648344,10.6350816533759,26.6860903283458,28.0518375867989,20.5489763496897,0,0.998170582656102,1.00021407551028,-0,0,0.206727277478303,25.6341824073096
262.2,1.01499086562979,1.01499086561765,1.01499086578394,75.6667182021722,75.6667182021722,10.6321826577244,27.074029514312,28.0490738431144,20.5436148447458,0,0.998170582656102,1.00009029688615,-0,0,0.209259221979606,25.9481435254712
262.21,1.01485978451507,1.01485978449372,1.01485978467524,76.803285246435,76.803285246435,10.629383018588,28.2184639961132,28.0464493920755,20.5383718582463,0,0.998170582656102,0.999964547325919,-0,0,0.218194832693944,27.0561592540491
262.22,1.01473224082412,1.01473224085384,1.01473224101357,75.4979803914184,75.4979803914184,10.6266533984267,26.9208324943718,28.0438965118299,20.5332513852166,0,0.998170582656102,1.00009568673987,-0,0,0.206053133126482,25.5505885076838
262.23,1.01460990452951,1.01460990454878,1.01460990472272,74.5674976619501,74.5674976619501,10.6240445657726,25.9976491887687,28.0413828187145,20.5284656544669,0,0.998170582656102,1.00008654192389,-0,0,0.206104634733739,25.5569747069836
262.24,1.01448464609851,1.01448464616772,1.01448464631552,74.1656443481738,74.1656443481738,10.6213605814151,25.6033037133006,28.0387928414768,20.5235477933965,0,0.998170582656102,1.00007398900466,-0,0,0.200048490480695,24.8060128196062
262.25,1.01434219097254,1.01434219106295,1.01434219121375,72.7113908470921,72.7113908470921,10.6182530141102,24.1577204676425,28.0357459369258,20.5179244425237,0,0.998170582656102,1.00019320159143,-0,0,0.179919516177473,22.3100200060066
262.26,1.01420243952351,1.01420243961763,1.01420243977678,73.0916029863692,73.0916029863692,10.6152091775887,24.5463960280352,28.0326991770484,20.5125077812855,0,0.998170582656102,1.00005964733647,-0,0,0.188715445561858,23.4007152496704
262.27,1.0140760804892,1.01407608057221,1.01407608075291,71.2687598180143,71.2687598180143,10.6124608993697,22.7311943348308,28.0299480324051,20.5076174507784,0,0.998170582656102,1.00017989302813,-0,0,0.172615952854881,21.4043781540052
262.28,1.01393209437107,1.01393209452829,1.01393209466515,71.5685282687984,71.5685282687984,10.6092880333478,23.0397338541994,28.0266622071114,20.5021322074877,0,0.998170582656102,1.00000779953339,-0,0,0.186645773064766,23.144075860031
262.29,1.01378970953811,1.01378970971983,1.01378970986175,70.6293422541744,70.6293422541744,10.6061320650956,22.1092839765563,28.0234192987676,20.4966389788505,0,0.998170582656102,1.0000568850394,-0,0,0.175314652191625,21.7390168717615
262.3,1.01364369901559,1.01364369918235,1.01364369934785,70.6998426424782,70.6998426424782,10.6028802921584,22.1887689498836,28.0200419017928,20.4910317908018,0,0.998170582656102,0.999986399001626,-0,0,0.17744753117826,22.0034938661042
262.31,1.01347132521602,1.01347132545666,1.01347132558176,70.4321876386263,70.4321876386263,10.5989840871009,21.9318703388309,28.0159763701508,20.4843409296445,0,0.998170582656102,0.999971985710573,-0,0,0.176332239451384,21.8651976919717
262.32,1.01331676741035,1.01331676765338,1.01331676778877,70.3486507773041,70.3486507773041,10.5955004121489,21.8579579323035,28.0123563122216,20.4783365327791,0,0.998170582656102,0.99996979783571,-0,0,0.172888366120866,21.4381573989873
262.33,1.01317127620567,1.01317127643549,1.01317127659774,70.2656469425845,70.2656469425845,10.5922206044624,21.7840164269602,28.0089505217467,20.4726799938776,0,0.998170582656102,0.999973379170488,-0,0,0.170516007504617,21.1439849305725
262.34,1.01300567786933,1.01300567820779,1.01300567830943,71.3369318661679,71.3369318661679,10.5884578650208,22.8657093481341,28.0050676654015,20.4661548526322,0,0.998170582656102,0.999899323372015,-0,0,0.175509122717131,21.7631312169243
262.35,1.01284215352929,1.01284215390422,1.01284215401062,70.7852277515782,70.7852277515782,10.5847286009578,22.3243134446913,28.0012038945027,20.4597104123842,0,0.998170582656102,0.999957799589916,-0,0,0.175390809175404,21.7484603377501
262.36,1.01267046899705,1.01267046935322,1.01267046949359,70.8859232758647,70.8859232758647,10.5808017449967,22.4358654296916,27.9971399478591,20.4529178983141,0,0.998170582656102,0.999956853840071,-0,0,0.174987349893833,21.6984313868353
262.37,1.01250411163748,1.01250411209801,1.01250411217668,71.5143636598059,71.5143636598059,10.5769993492145,23.0748267064817,27.993223274617,20.4463136787073,0,0.998170582656102,0.999914306496997,-0,0,0.17994960009778,22.3137504121248
262.38,1.01234196619498,1.01234196666111,1.01234196675444,69.647272231934,69.647272231934,10.573275260405,21.2180102607879,27.9893241492268,20.4399378219193,0,0.998170582656102,1.00004482948562,-0,0,0.171545869969407,21.2716878762065
262.39,1.01213516528437,1.01213516573715,1.01213516587026,70.1599703960868,70.1599703960868,10.5684927525342,21.7439198924804,27.9843520076237,20.4316984959827,0,0.998170582656102,1.00001318034226,-0,0,0.164627251126686,20.4137791397091
262.4,1.01195317072734,1.01195317123042,1.01195317136374,71.4626337909005,71.4626337909005,10.5643006727809,23.0581688369512,27.9800048223721,20.4244601315772,0,0.998170582656102,0.999891064957472,-0,0,0.178313398410046,22.1108614028458
262.41,1.01178331836618,1.01178331900972,1.01178331904911,67.6752788602821,67.6752788602821,10.5603618302374,19.2816630272495,27.9758412143392,20.4177746186933,0,0.998170582656102,1.00019969399321,-0,0,0.150450321339845,18.6558398461407
